"","","Accuracy","Play Count","Performance","SS","S","A"
"#2494","Brikery","99.18%","47,041","8,555","73","578","464"
"#2495","Moreon","98.87%","68,554","8,555","58","555","896"
"#2496","[ Yui BOT ]","98.68%","70,524","8,554","112","1,375","2,178"
"#2497","Kardet","98.81%","86,856","8,553","171","1,969","1,411"
"#2498","Abelia","98.03%","121,121","8,553","78","1,026","1,418"
"#2499","Neuenmuller","96.35%","143,125","8,553","32","1,190","633"
"#2500","PinkiePieQ","97.83%","52,907","8,553","17","658","639"
"#2501","doing osu","93.91%","40,941","8,552","11","244","300"
"#2502","Gazzzaa","95.29%","102,989","8,550","37","761","1,509"
"#2503","Darkmaster","99.22%","116,062","8,550","75","1,282","896"
"#2504","drugkeeper","98.68%","60,666","8,549","31","495","593"
"#2505","dkay81","96.77%","40,886","8,548","26","629","1,163"
"#2506","POO ON MY SHOE","99.29%","54,186","8,548","47","506","423"
"#2507","kallax","99.08%","69,664","8,547","91","971","1,055"
"#2508","OskaRRRitoS","98.92%","52,484","8,547","1,196","2,515","1,382"
"#2509","[ Bomilk ]","96.80%","56,758","8,547","62","523","560"
"#2510","[ Skylak3 ]","98.34%","98,647","8,546","250","893","172"
"#2511","Bredzeus","98.68%","60,137","8,546","19","876","1,055"
"#2512","Alice Pi","98.87%","79,610","8,545","107","592","1,064"
"#2513","50 Cent","99.00%","115,674","8,545","106","943","1,395"
"#2514","Magic-_-Banana","96.66%","86,926","8,544","9","294","771"
"#2515","valentDawn","99.37%","31,128","8,544","90","1,041","861"
"#2516","Wekkl","99.01%","89,822","8,544","16","300","469"
"#2517","sdaiber","97.01%","80,518","8,541","6","576","1,286"
"#2518","Megalomaniac","98.35%","74,194","8,540","6","846","478"
"#2519","THUNDERCOKC2678","99.20%","59,125","8,540","253","1,278","1,332"
"#2520","Antares-","97.86%","133,523","8,538","65","1,188","1,566"
"#2521","Morfeusz","97.48%","107,827","8,535","21","212","239"
"#2522","[244]ash","96.85%","60,606","8,534","99","450","700"
"#2523","_Whink","98.13%","86,787","8,533","12","776","1,062"
"#2524","Shachi","98.62%","97,359","8,532","36","923","1,640"
"#2525","poont fanboy","99.26%","92,450","8,532","246","2,011","1,752"
"#2526","xX_MusicMan_Xx","99.13%","59,984","8,529","102","877","1,020"
"#2527","Azure Desu","98.37%","87,332","8,529","59","929","692"
"#2528","Clueless","98.19%","143,378","8,527","99","1,221","1,926"
"#2529","Keguro","96.77%","75,937","8,526","7","400","861"
"#2530","-Fusein-","98.83%","94,266","8,526","205","1,847","688"
"#2531","Kamykazi","98.42%","138,162","8,525","7","188","415"
"#2532","[Soju_Desu]","97.79%","60,824","8,525","77","1,177","964"
"#2533","B-S Kokuban","99.63%","6,438","8,525","39","223","385"
"#2534","SergeantR","96.61%","95,296","8,525","77","340","607"
"#2535","Mafham","98.40%","58,208","8,525","154","838","406"
"#2536","anothr","98.52%","47,085","8,523","28","522","500"
"#2537","CaLiA","99.01%","101,494","8,523","71","1,753","995"
"#2538","ExpertBOT","98.32%","83,870","8,523","105","820","578"
"#2539","Nevik","98.35%","123,607","8,522","65","773","1,007"
"#2540","Aeriex","97.83%","44,649","8,521","11","376","790"
"#2541","skyegrey","99.11%","50,877","8,521","51","722","1,090"
"#2542","Bowedbird","91.46%","98,121","8,521","7","330","1,431"
"#2543","Freddy","96.63%","106,187","8,520","36","438","1,186"
"#2544","Sage","98.53%","77,604","8,520","27","1,012","1,095"
"#2545","Sylian","98.36%","129,418","8,520","32","844","1,639"
"#2546","Chyr","98.10%","70,823","8,520","201","733","890"
"#2547","Arina","98.40%","100,082","8,520","224","827","740"
"#2548","younited","99.28%","39,410","8,518","36","674","316"
"#2549","Moshu","99.13%","124,771","8,518","71","514","661"
"#2550","Naxurin","99.53%","153,622","8,517","1,457","1,778","923"
"#2551","Cornfield","98.61%","71,244","8,517","167","1,232","1,281"
"#2552","FrenZ396","98.92%","67,868","8,516","71","1,150","1,283"
"#2553","[ AeonLust ]","99.17%","71,320","8,514","84","2,159","1,225"
"#2554","[ Erina ]","97.21%","128,416","8,514","110","2,742","1,347"
"#2555","BuffaloScar","98.17%","55,916","8,514","176","523","410"
"#2556","Viraelia","97.58%","61,162","8,513","26","285","692"
"#2557","koteyka20","98.30%","79,203","8,513","206","1,051","812"
"#2558","star1322","98.65%","48,250","8,512","8","207","511"
"#2559","SowAA","99.06%","76,497","8,512","557","1,451","459"
"#2560","Fighu","96.92%","46,786","8,511","93","488","449"
"#2561","_thicke","99.26%","73,293","8,511","230","2,301","2,017"
"#2562","-Inyafaze-","97.54%","78,228","8,511","46","661","610"
"#2563","Lefy","98.16%","50,994","8,510","18","385","883"
"#2564","moyamoyano_sa","98.95%","109,757","8,510","207","1,486","523"
"#2565","SweetCukes_","98.21%","62,044","8,510","62","1,892","1,343"
"#2566","Minami-Kotori","98.93%","79,695","8,510","32","748","1,652"
"#2567","Brunows11","98.79%","50,863","8,509","87","895","818"
"#2568","Yukino Miko","99.92%","139,085","8,509","5,380","59","237"
"#2569","Nyfot","98.06%","73,526","8,508","92","1,082","1,463"
"#2570","benjacala","99.03%","143,398","8,508","109","1,898","1,291"
"#2571","kjuszino","97.66%","139,085","8,508","136","668","1,257"
"#2572","Suzuyuki","97.80%","121,149","8,507","22","645","717"
"#2573","Seni","98.59%","193,799","8,507","106","1,254","1,554"
"#2574","elki","97.15%","66,944","8,507","13","266","676"
"#2575","Flying_Freddy","96.17%","79,166","8,506","25","851","752"
"#2576","Hiyajo Sephina","98.99%","14,378","8,505","53","439","1,507"
"#2577","Regnall","99.39%","123,675","8,505","451","2,235","791"
"#2578","Fawx","98.88%","48,462","8,503","119","933","1,951"
"#2579","Wrath-","96.27%","56,091","8,501","25","568","837"
"#2580","swizcat","96.96%","50,697","8,501","18","405","648"
"#2581","ianski","95.90%","73,094","8,500","237","1,101","1,167"
"#2582","Kirinagi","98.40%","91,101","8,500","20","1,017","1,341"
"#2583","DonnieGG","98.39%","49,273","8,499","26","342","825"
"#2584","Kalo","98.21%","56,017","8,499","32","447","943"
"#2585","Snipey","99.07%","47,624","8,498","37","804","533"
"#2586","Amanda","98.86%","129,617","8,498","64","1,785","1,589"
"#2587","Aviaty","97.73%","78,894","8,498","4","219","602"
"#2588","shiro428","98.84%","61,033","8,496","84","1,472","1,429"
"#2589","goink","87.01%","66,540","8,496","10","319","446"
"#2590","Just2Gud","99.52%","51,748","8,496","684","1,260","1,266"
"#2591","3D Printer","98.88%","62,654","8,496","283","2,337","1,327"
"#2592","swtk","98.96%","117,857","8,496","62","980","986"
"#2593","Resoa","97.97%","24,033","8,495","11","426","1,041"
"#2594","Shiiraki","97.33%","117,726","8,495","50","876","1,326"
"#2595","Ted","98.97%","57,932","8,494","119","865","1,574"
"#2596","Booguboo","96.78%","57,959","8,494","122","1,552","1,838"
"#2597","Tsumetai Tenshi","98.64%","123,851","8,494","68","891","799"
"#2598","_Kuroni_","98.63%","37,161","8,494","49","352","625"
"#2599","Cione","99.41%","115,699","8,493","353","1,677","681"
"#2600","QiteX","98.93%","62,832","8,492","44","783","1,303"
"#2601","magnatagamer123","97.97%","31,172","8,492","7","258","515"
"#2602","mithew","97.53%","118,167","8,492","69","678","912"
"#2603","Piper","97.58%","59,615","8,490","202","985","871"
"#2604","Saymel","98.56%","58,157","8,490","26","737","639"
"#2605","Chiakemi","99.08%","81,654","8,489","51","1,280","1,207"
"#2606","AeolusRaZor","98.74%","28,186","8,489","34","325","509"
"#2607","Etsukazu","97.98%","67,382","8,488","31","883","812"
"#2608","yotampoco","98.82%","38,196","8,488","37","456","614"
"#2609","-Deity-","98.53%","83,463","8,487","70","1,172","1,753"
"#2610","egedi","98.89%","38,985","8,487","20","917","877"
"#2611","-cr1mmy-","98.90%","329,378","8,486","1,980","5,790","1,583"
"#2612","Dinilsu","97.87%","96,960","8,485","36","239","616"
"#2613","CookieEaters","97.20%","30,725","8,484","4","204","383"
"#2614","Kargondz","97.49%","97,151","8,483","112","651","1,010"
"#2615","Colored","98.78%","144,289","8,483","240","3,459","774"
"#2616","Prograf","98.44%","59,511","8,483","117","1,259","808"
"#2617","Sepid","99.24%","59,341","8,482","101","1,134","88"
"#2618","Coron","98.71%","132,179","8,482","100","1,184","929"
"#2619","Lubren","98.75%","51,541","8,481","355","924","1,619"
"#2620","WhatTheDuck","99.50%","91,624","8,481","66","682","747"
"#2621","Bakugou","96.28%","49,226","8,480","45","244","487"
"#2622","prettyfox2015","98.38%","54,979","8,480","63","225","423"
"#2623","Petyl","97.71%","72,058","8,478","88","1,219","1,436"
"#2624","Seven","99.60%","85,111","8,478","1,277","2,269","1,752"
"#2625","getpower3","99.37%","94,161","8,477","254","2,418","2,082"
"#2626","Diulenomo","98.62%","66,546","8,475","150","1,294","827"
"#2627","ClystaL-","98.41%","126,191","8,475","11","572","887"
"#2628","Start","98.17%","51,598","8,475","14","1,122","1,251"
"#2629","Nansei","98.91%","139,154","8,474","295","2,837","3,941"
"#2630","KyZzo","99.29%","60,769","8,474","42","872","1,192"
"#2631","X rated","99.10%","73,726","8,473","22","637","1,316"
"#2632","Refrum","98.56%","95,972","8,473","103","1,022","1,770"
"#2633","Battquif","98.82%","74,514","8,472","160","2,042","339"
"#2634","Kungen","97.34%","152,982","8,471","43","1,392","2,194"
"#2635","Laskher1","98.72%","87,747","8,470","90","1,345","1,701"
"#2636","juan736","95.32%","103,825","8,470","379","3,667","3,372"
"#2637","Hasuki","99.11%","88,628","8,469","64","1,658","595"
"#2638","StiKsy","98.97%","112,780","8,469","75","902","1,873"
"#2639","shoe lace","98.63%","149,797","8,468","206","1,146","1,555"
"#2640","nagato555","98.99%","50,270","8,468","74","859","693"
"#2641","twofor199","98.54%","71,770","8,468","29","660","1,133"
"#2642","Aver","99.28%","119,149","8,467","85","581","1,257"
"#2643","Sakurasou","99.15%","32,679","8,467","35","312","371"
"#2644","Senko","97.87%","104,830","8,466","52","621","1,117"
"#2645","Judas","99.47%","58,988","8,465","464","1,853","2,332"
"#2646","impenniless","99.08%","52,818","8,465","71","806","856"
"#2647","Bellicose","97.74%","78,672","8,465","220","4,151","917"
"#2648","Artizia","98.05%","60,743","8,464","22","507","898"
"#2649","blednak","99.16%","203,383","8,464","373","2,439","1,083"
"#2650","-Dreamless","98.78%","99,184","8,463","42","1,960","2,242"
"#2651","HullPerse","99.19%","67,661","8,463","198","1,459","2,074"
"#2652","xChorse","98.89%","82,874","8,462","120","1,274","993"
"#2653","pnsquad","99.04%","17,725","8,461","24","426","569"
"#2654","[ Yozzied ]","98.64%","84,902","8,461","177","2,650","865"
"#2655","-lovely ala-","98.15%","55,968","8,461","17","839","1,893"
"#2656","MCVictorious","98.39%","84,746","8,461","41","523","761"
"#2657","Solar722","96.78%","28,951","8,460","39","470","528"
"#2658","Anmiy","99.03%","192,476","8,460","241","4,034","1,745"
"#2659","Zylice","97.85%","40,081","8,460","8","177","234"
"#2660","-peachtea-","97.48%","74,475","8,459","67","961","505"
"#2661","Derposoft","97.93%","47,088","8,458","48","1,061","991"
"#2662","Hedayo","98.67%","73,908","8,457","65","699","1,966"
"#2663","Izzie","98.70%","97,991","8,457","150","1,235","806"
"#2664","Eliaasi","97.44%","91,145","8,457","95","827","395"
"#2665","[ Niku ]","99.56%","93,266","8,456","129","1,534","1,763"
"#2666","Willi","98.16%","50,261","8,455","302","2,414","1,763"
"#2667","ImReallyMonika","96.72%","56,175","8,455","91","1,081","763"
"#2668","Slexer_YT","98.43%","36,737","8,454","42","433","704"
"#2669","Swishi","99.41%","163,294","8,454","226","1,949","1,698"
"#2670","Mikatsu","97.77%","44,834","8,454","2","84","531"
"#2671","HENKSELI","98.18%","92,724","8,454","415","1,826","1,195"
"#2672","Alkees","98.72%","75,600","8,453","108","938","579"
"#2673","KaPPaStorm","99.19%","94,351","8,451","565","1,801","474"
"#2674","Nicoreall","93.33%","46,578","8,450","7","235","445"
"#2675","Proteus","98.85%","77,891","8,450","102","599","562"
"#2676","Abisumori","98.88%","65,165","8,449","30","680","1,027"
"#2677","Spexleon","96.45%","55,442","8,449","22","469","686"
"#2678","Ashmar","98.76%","67,884","8,448","109","1,138","71"
"#2679","hanari","98.59%","90,195","8,448","201","2,016","1,528"
"#2680","PlatSen","96.68%","55,889","8,448","7","358","801"
"#2681","akeigo","99.20%","69,808","8,448","106","609","828"
"#2682","Menty","98.56%","68,905","8,448","14","1,555","1,071"
"#2683","hvick810","99.35%","191,577","8,448","264","2,328","1,815"
"#2684","White - Bear","98.50%","57,402","8,448","129","392","285"
"#2685","rawrneru","98.29%","48,519","8,447","35","348","429"
"#2686","steini","99.12%","72,638","8,447","174","1,132","1,513"
"#2687","Johto","97.53%","66,308","8,447","14","302","471"
"#2688","FelixNy","98.93%","133,773","8,447","50","598","696"
"#2689","a humble duck","98.45%","73,720","8,446","38","528","1,010"
"#2690","Daynem W","97.59%","62,118","8,445","44","776","1,720"
"#2691","tsukkiy","96.85%","107,052","8,444","80","1,238","1,299"
"#2692","Porbios","96.02%","48,506","8,444","16","214","590"
"#2693","CatsOnAcid","98.89%","91,359","8,444","50","1,387","756"
"#2694","SatoReika","98.18%","84,995","8,443","52","874","1,142"
"#2695","Shuezi","97.53%","69,736","8,443","41","1,478","1,498"
"#2696","Igor Cabra","98.57%","66,662","8,442","13","89","202"
"#2697","- Neo","97.26%","80,456","8,442","25","806","950"
"#2698","Zenden","98.86%","76,500","8,442","58","688","1,695"
"#2699","Raien","98.90%","65,249","8,442","33","669","1,120"
"#2700","Pioter00000","99.18%","86,104","8,441","92","589","886"
"#2701","AntoN","98.93%","115,835","8,441","206","1,875","2,984"
"#2702","Forleks","96.85%","48,540","8,440","16","327","687"
"#2703","About","97.93%","47,579","8,440","12","138","278"
"#2704","[ BlueArmy ]","97.90%","43,253","8,440","87","484","379"
"#2705","sipulijuusto","97.66%","59,905","8,438","88","985","1,231"
"#2706","GokuLook","98.16%","146,170","8,438","475","1,862","1,169"
"#2707","Blaze","99.22%","88,409","8,437","261","1,351","887"
"#2708","Terrible","98.99%","89,067","8,437","141","1,254","1,117"
"#2709","Rippy Dippy","98.72%","65,405","8,437","57","1,083","969"
"#2710","Kalowo","96.26%","41,198","8,436","28","474","701"
"#2711","Lowstroy","98.91%","63,358","8,436","27","395","609"
"#2712","- Bastian -","99.00%","46,187","8,435","11","642","1,382"
"#2713","Alfalik","99.23%","116,568","8,435","213","832","1,242"
"#2714","-Yumu-","96.80%","67,010","8,435","2","121","441"
"#2715","mikkoxd","98.17%","90,319","8,435","44","1,134","1,458"
"#2716","Alpama","98.92%","32,782","8,434","51","733","886"
"#2717","leynieR","97.69%","134,289","8,434","41","668","757"
"#2718","Arestark","98.44%","67,952","8,434","19","391","562"
"#2719","ThatOneFurryGuy","99.11%","55,166","8,434","97","1,765","2,107"
"#2720","4mpy","99.48%","123,964","8,434","171","1,050","873"
"#2721","DestroyerBean","95.47%","83,184","8,434","89","792","675"
"#2722","dahkjdas","98.06%","86,976","8,432","39","1,442","1,044"
"#2723","lisophoria","96.78%","23,147","8,430","6","102","246"
"#2724","AyatsujiTsukasa","97.30%","34,338","8,428","13","454","995"
"#2725","TobseN","99.03%","68,661","8,425","43","601","677"
"#2726","Aoiyuuki-","99.40%","26,864","8,425","827","1,905","81"
"#2727","kumig","99.16%","84,746","8,425","92","1,223","1,534"
"#2728","_Mattia_","99.16%","66,063","8,424","435","2,444","1,980"
"#2729","Kuukoisbestgirl","98.86%","56,621","8,424","33","326","613"
"#2730","My Angel Takaga","98.65%","70,521","8,424","78","824","1,160"
"#2731","pingding","98.81%","73,302","8,423","93","615","808"
"#2732","L1NKED","98.88%","117,349","8,422","313","2,195","1,649"
"#2733","IasiS","98.49%","165,795","8,422","111","2,153","779"
"#2734","xPHAEDRA","96.26%","85,536","8,421","20","579","1,010"
"#2735","Wintr","98.61%","81,647","8,421","295","432","177"
"#2736","Ducky","99.02%","54,812","8,421","282","984","1,561"
"#2737","The100500","99.22%","92,603","8,421","47","686","782"
"#2738","Zodark","98.85%","97,537","8,421","98","1,744","2,068"
"#2739","Maharen","99.11%","82,304","8,421","124","1,242","1,990"
"#2740","Fadeaway","96.99%","80,921","8,420","145","1,523","1,280"
"#2741","Ragnawrawk","98.70%","57,310","8,420","107","1,003","810"
"#2742","Aksel","97.30%","71,435","8,420","30","535","1,427"
"#2743","HIKARI-Fran","98.07%","36,555","8,419","73","2,366","2,805"
"#2744","accent","97.97%","33,489","8,419","66","481","685"
"#2745","Akariin","98.21%","106,944","8,418","94","1,410","1,255"
"#2746","MinecraftSteve","98.06%","36,492","8,418","30","430","781"
"#2747","Amabsu","97.89%","39,135","8,418","5","245","633"
"#2748","Squilly","98.67%","63,799","8,417","55","487","325"
"#2749","OperatorTostera","99.07%","59,411","8,417","86","887","384"
"#2750","Shyouko","98.68%","27,679","8,416","61","443","457"
"#2751","NekoMaid","97.10%","130,025","8,416","150","866","1,864"
"#2752","Lyneyra","96.85%","120,660","8,416","197","2,755","1,611"
"#2753","S1mperella","96.25%","46,916","8,415","21","243","477"
"#2754","_Zero_","98.09%","58,787","8,415","14","498","380"
"#2755","PedroLipton","98.66%","71,772","8,415","238","2,263","1,784"
"#2756","Elferj","98.62%","122,210","8,414","18","594","990"
"#2757","Vlaaaaaaad","98.53%","37,979","8,414","27","325","390"
"#2758","Rtzero","98.21%","23,505","8,413","0","429","910"
"#2759","ToLove","98.98%","55,426","8,413","122","790","463"
"#2760","Ninther4","98.74%","70,547","8,412","641","3,060","169"
"#2761","Feiri","98.93%","50,067","8,412","33","687","1,615"
"#2762","kepel","98.89%","67,060","8,411","41","589","928"
"#2763","kenny507","94.94%","45,302","8,410","25","440","588"
"#2764","xAlexo","97.93%","26,441","8,410","13","227","496"
"#2765","Krookii","98.06%","104,054","8,409","10","124","335"
"#2766","-Moha","97.85%","142,659","8,409","14","399","1,151"
"#2767","TCN","99.45%","150,961","8,409","1,744","1,324","2,190"
"#2768","Corn-Din","97.91%","22,547","8,409","28","583","663"
"#2769","EddyThePoo","96.84%","36,261","8,408","11","350","336"
"#2770","Vvn","99.22%","29,004","8,407","52","490","636"
"#2771","Fanboyyou","98.37%","104,400","8,407","89","478","962"
"#2772","Niali","98.92%","72,417","8,406","113","1,301","1,762"
"#2773","Never4Ever","97.58%","25,849","8,404","19","405","744"
"#2774","Sentences","98.80%","39,760","8,404","31","311","1,152"
"#2775","Milkabob","98.71%","69,023","8,403","76","578","1,418"
"#2776","Preston","98.79%","39,292","8,401","230","957","519"
"#2777","Juhmall","99.23%","81,370","8,401","57","388","1,008"
"#2778","Emperium","98.97%","181,510","8,400","111","989","1,846"
"#2779","popo","97.97%","42,597","8,400","25","678","823"
"#2780","- S a k a -","99.35%","12,455","8,400","154","436","449"
"#2781","NekoXion","96.77%","139,746","8,400","20","561","1,053"
"#2782","The Lewd Loli","98.19%","89,816","8,399","131","1,036","1,047"
"#2783","Nesnen","98.94%","73,729","8,399","145","1,438","1,556"
"#2784","My Girl Ruri 96","99.50%","111,589","8,398","141","1,731","952"
"#2785","Yuuri","98.56%","103,939","8,398","101","1,951","1,384"
"#2786","Hydra","98.62%","58,984","8,398","47","1,930","999"
"#2787","Banshi","98.66%","62,445","8,398","66","887","1,131"
"#2788","Ashtar","99.12%","69,427","8,397","105","1,829","264"
"#2789","umii","98.79%","45,081","8,397","49","1,747","802"
"#2790","Judani","96.65%","80,114","8,397","177","801","1,470"
"#2791","Minos with qsc","98.83%","101,047","8,397","64","1,372","1,793"
"#2792","YuuSakku","98.88%","40,516","8,396","97","821","698"
"#2793","Blitzcrieg","97.47%","45,756","8,396","15","385","401"
"#2794","Aethus","98.15%","67,080","8,396","29","310","718"
"#2795","Mukasaka","99.21%","137,855","8,395","185","1,653","1,691"
"#2796","Zaphkiel1","97.64%","56,977","8,393","21","447","474"
"#2797","Totoro","99.27%","45,151","8,393","66","818","459"
"#2798","Schach","97.75%","97,241","8,392","47","1,300","1,623"
"#2799","Emorix","98.79%","48,358","8,392","25","270","602"
"#2800","aegishield3","99.23%","80,881","8,391","32","560","332"
"#2801","JustMan 2","99.41%","31,941","8,391","391","1,523","1,253"
"#2802","nautzz","99.08%","79,541","8,390","143","1,385","5,440"
"#2803","Hollowfury7","96.52%","146,735","8,389","8","286","817"
"#2804","minitaz64","97.32%","37,532","8,389","39","446","879"
"#2805","Akira","98.12%","21,091","8,388","17","213","502"
"#2806","StreaminDemon","99.26%","108,200","8,387","2,505","19,535","858"
"#2807","Vistamine","97.79%","49,610","8,384","239","1,008","1,285"
"#2808","JustLikeThat","98.06%","89,386","8,384","38","1,324","410"
"#2809","Mytlex","98.41%","58,833","8,384","21","558","1,314"
"#2810","Nikolas","98.38%","65,748","8,383","156","1,813","2,781"
"#2811","Trigonoculus","98.43%","36,772","8,382","156","882","495"
"#2812","Absence","99.46%","75,965","8,381","38","718","935"
"#2813","HengChiBiRi","98.19%","83,876","8,377","106","1,429","864"
"#2814","Pampilius","95.98%","80,173","8,377","11","681","1,107"
"#2815","Shilin-","96.08%","14,079","8,376","123","376","454"
"#2816","Celis","99.25%","167,777","8,374","304","1,896","1,190"
"#2817","Jugment","98.63%","126,129","8,374","59","1,400","1,710"
"#2818","ChivaJam","98.77%","90,832","8,373","64","851","1,767"
"#2819","Freddie","97.53%","40,002","8,373","0","610","880"
"#2820","TheDerpJason","95.19%","92,352","8,373","12","238","371"
"#2821","RussianSoup","96.27%","52,689","8,373","31","528","563"
"#2822","i am speed","97.78%","65,219","8,373","15","449","833"
"#2823","Hallsu","99.05%","126,335","8,372","230","1,382","159"
"#2824","Orage","97.90%","62,533","8,372","185","3,558","1,701"
"#2825","[Crz]Makii","98.89%","55,346","8,371","37","996","913"
"#2826","Exumk","99.13%","42,012","8,371","75","288","551"
"#2827","MattFatt","94.83%","40,396","8,371","4","123","248"
"#2828","iRedi","96.03%","37,443","8,371","11","525","1,149"
"#2829","Another6_4","97.10%","136,246","8,370","30","1,297","759"
"#2830","Lamonia","97.56%","41,358","8,370","192","1,160","239"
"#2831","Medium","97.03%","55,760","8,369","25","698","1,810"
"#2832","Fearoflife","94.01%","51,004","8,368","48","459","319"
"#2833","TheFightyMatNut","94.62%","46,178","8,368","15","503","354"
"#2834","Poddop","97.30%","60,142","8,367","3","187","416"
"#2835","Poto","98.82%","83,234","8,367","83","1,099","972"
"#2836","xxWeedWizardxx","99.39%","165,782","8,367","163","1,772","1,035"
"#2837","KurashinaA5uka","97.79%","14,016","8,366","21","209","340"
"#2838","roq","97.22%","46,515","8,366","122","1,140","1,416"
"#2839","Uzai","98.60%","41,427","8,366","23","646","1,113"
"#2840","NightFiend","98.32%","83,099","8,365","85","2,680","1,637"
"#2841","FishStar","97.47%","55,962","8,365","85","1,073","1,197"
"#2842","_sPekTrE","97.37%","47,553","8,365","4","529","1,019"
"#2843","Phoebe Yu","98.88%","27,754","8,364","32","425","1,079"
"#2844","Potofu","99.52%","72,027","8,363","1,411","1,411","23"
"#2845","WalkingDivan4Ik","98.68%","57,550","8,362","66","1,195","3,285"
"#2846","Nemesis1925","99.08%","52,228","8,362","98","1,095","1,397"
"#2847","- Ruby","99.02%","78,252","8,361","41","564","898"
"#2848","Yuzuru","98.73%","184,691","8,361","289","1,331","245"
"#2849","Uta - chan","99.12%","66,541","8,360","130","779","468"
"#2850","_Nevermind_","97.71%","56,651","8,359","16","280","565"
"#2851","oraaanges","98.84%","61,185","8,359","142","1,540","1,748"
"#2852","Weegee","97.26%","32,672","8,359","33","292","528"
"#2853","- Eucliwood -","99.34%","117,649","8,359","128","1,307","495"
"#2854","Lucker96","99.14%","71,127","8,358","162","1,477","1,783"
"#2855","monome","96.62%","25,747","8,357","7","622","448"
"#2856","LazyLea","98.66%","81,642","8,357","164","590","978"
"#2857","Nitro","99.50%","159,026","8,357","430","2,127","968"
"#2858","Zyng","98.27%","85,470","8,357","11","358","863"
"#2859","Weyk","97.66%","104,238","8,356","11","286","1,298"
"#2860","Fybeth","95.16%","31,413","8,354","23","314","548"
"#2861","Nakano Itsuki","99.10%","88,495","8,353","84","1,153","1,105"
"#2862","JTttk","98.19%","59,153","8,352","58","759","1,305"
"#2863","Leva_Russian","96.92%","491","8,351","0","13","42"
"#2864","Zoeskal","97.74%","49,608","8,350","74","872","1,262"
"#2865","Gildz","98.13%","40,914","8,349","3","405","730"
"#2866","Lea","98.22%","107,000","8,348","113","1,212","1,488"
"#2867","TheRealWillLITE","98.66%","57,977","8,348","266","1,861","2,534"
"#2868","Sebbi","97.68%","67,952","8,347","44","882","1,972"
"#2869","Hettica","99.13%","128,078","8,345","139","1,321","2,469"
"#2870","Paka","98.85%","57,211","8,344","116","608","918"
"#2871","Pls Enjoy Game","99.18%","97,465","8,344","143","1,479","1,425"
"#2872","[[Pika]]","98.82%","41,701","8,343","112","1,034","673"
"#2873","Heartstrings","98.67%","42,313","8,342","12","220","773"
"#2874","Kraggi","98.58%","74,719","8,342","12","390","851"
"#2875","i hate osu","96.66%","66,163","8,341","14","437","716"
"#2876","Paysami","97.24%","91,875","8,341","36","263","459"
"#2877","Mordo","98.28%","105,322","8,341","66","1,168","813"
"#2878","Camocratic","99.30%","98,679","8,340","12","199","525"
"#2879","idealnettles","98.01%","127,503","8,340","387","2,171","2,818"
"#2880","Okino may","98.78%","125,774","8,340","126","1,463","1,455"
"#2881","CpxG","96.68%","48,823","8,339","43","567","654"
"#2882","Shockwave000","98.85%","151,536","8,339","949","6,905","1,349"
"#2883","Destino","98.37%","173,610","8,339","71","1,034","712"
"#2884","SSaturday","98.12%","41,178","8,338","26","424","904"
"#2885","KaanKorkmaz","99.29%","61,495","8,338","116","1,005","705"
"#2886","Foqua","94.10%","145,497","8,337","19","395","349"
"#2887","_Alucard_","98.82%","70,800","8,337","26","658","884"
"#2888","Shaggy Blanco","97.15%","112,167","8,337","30","663","1,153"
"#2889","krio","99.34%","52,279","8,336","33","453","754"
"#2890","TheLead","96.99%","79,451","8,336","56","744","1,960"
"#2891","xasuma","99.34%","158,727","8,335","22,888","34,788","8,746"
"#2892","Kurogemy","99.23%","79,571","8,335","268","967","460"
"#2893","Tartis","98.87%","58,483","8,335","30","783","1,514"
"#2894","Tarix","98.69%","63,094","8,335","13","788","801"
"#2895","yumi","99.70%","145,369","8,334","2,866","575","389"
"#2896","Morinaka Kazaki","95.45%","60,467","8,334","22","447","1,137"
"#2897","Frostmourne","99.10%","113,155","8,334","699","4,138","664"
"#2898","Ultraplex","98.81%","79,514","8,334","76","716","763"
"#2899","ylitkas","97.74%","146,935","8,333","558","2,161","571"
"#2900","Kevn","95.39%","56,501","8,333","18","294","604"
"#2901","vanilla stout","98.07%","45,989","8,332","10","689","1,055"
"#2902","Domblade","97.94%","20,674","8,332","35","333","510"
"#2903","Tyrone","97.50%","68,577","8,332","56","696","946"
"#2904","Awex9000","97.89%","118,460","8,331","98","1,004","677"
"#2905","Fruril","98.98%","111,503","8,331","147","987","2,812"
"#2906","Girl","93.30%","83,469","8,330","82","1,003","1,280"
"#2907","screewy","98.04%","52,271","8,330","75","779","572"
"#2908","Lirufication","98.82%","37,748","8,330","85","1,192","996"
"#2909","EEEEEEEEEEEEEEE","99.39%","210,407","8,329","16,542","9,260","5,722"
"#2910","jackythecow","98.21%","107,544","8,329","142","881","1,494"
"#2911","Gun","98.12%","52,930","8,328","90","438","1,082"
"#2912","2004Raul","98.73%","42,199","8,328","35","583","888"
"#2913","Vrael","98.51%","63,139","8,327","14","111","213"
"#2914","Sirix1337","96.76%","28,157","8,327","6","89","155"
"#2915","GeneralSharkk","99.41%","117,478","8,325","390","2,058","1,865"
"#2916","Haibara","97.78%","71,921","8,325","276","1,248","1,096"
"#2917","Derpycow223","98.63%","46,956","8,324","9","342","662"
