"","","Accuracy","Play Count","Performance","SS","S","A"
"#100","Toy","99.52%","267,445","13,138","9,645","4,239","1,367"
"#101","Shizuru-","97.93%","111,878","13,137","6","247","263"
"#102","Iliekwaffles","97.77%","85,743","13,092","25","589","927"
"#103","Mlaw","99.19%","110,149","13,083","267","3,348","2,061"
"#104","Nameless Player","99.34%","17,747","13,075","137","1,024","1,017"
"#105","Zeisen-","97.74%","93,983","13,057","19","849","1,614"
"#106","smh","98.66%","74,698","13,056","92","799","990"
"#107","rikia","98.88%","184,708","13,051","1,009","2,705","2,016"
"#108","-Wolfy-","97.47%","105,401","13,049","219","1,852","1,253"
"#109","theez","98.90%","72,549","13,048","164","817","863"
"#110","emilia","95.77%","124,106","13,041","49","1,817","1,623"
"#111","Nadir","98.49%","105,364","12,991","57","515","1,042"
"#112","My Angelsim","98.44%","287,550","12,991","1,064","3,724","1,096"
"#113","Hungah","98.11%","93,846","12,970","17","605","748"
"#114","onetabby trash","98.19%","67,810","12,948","21","161","108"
"#115","ThePooN","98.91%","94,311","12,936","83","1,344","1,102"
"#116","Koba","99.50%","281,666","12,906","692","2,815","1,881"
"#117","MrBooM","99.03%","78,287","12,902","41","1,396","1,131"
"#118","hallowatcher","99.56%","133,308","12,868","215","1,853","1,315"
"#119","Math God","97.58%","112,017","12,857","7","286","570"
"#120","Mastasz","98.40%","89,627","12,838","219","2,115","1,075"
"#121","Andrej","98.60%","144,060","12,831","33","986","969"
"#122","Snorlaax","97.88%","100,439","12,818","28","603","1,063"
"#123","Deruz","97.48%","71,290","12,813","27","549","702"
"#124","Ayla","98.65%","229,844","12,809","28","530","1,244"
"#125","Aristia","97.27%","77,314","12,808","111","2,191","579"
"#126","Ilmeria","97.49%","391,526","12,802","143","1,838","2,308"
"#127","LoidKun","97.00%","184,451","12,801","1,011","3,434","1,686"
"#128","Riot","97.55%","122,887","12,799","80","1,065","1,221"
"#129","PandaCattle","96.90%","144,222","12,797","21","789","1,079"
"#130","[ Zane ]","98.63%","176,625","12,791","239","2,890","2,309"
"#131","wuhua","97.53%","263,246","12,769","332","1,864","1,728"
"#132","eden1109","97.47%","70,119","12,758","9","382","736"
"#133","xxluizxx47","98.15%","109,082","12,751","209","1,064","1,283"
"#134","DTHR","96.61%","123,052","12,746","27","434","1,269"
"#135","- Heatwave -","98.97%","156,594","12,745","440","1,497","1,719"
"#136","Juandissimo","98.10%","58,478","12,718","43","942","1,067"
"#137","Enumi","97.90%","75,667","12,715","29","506","1,358"
"#138","Musty","98.83%","138,010","12,711","163","2,188","1,815"
"#139","Piggey","98.98%","158,740","12,703","184","2,393","1,372"
"#140","Zain Sugieres","97.91%","105,952","12,701","32","649","1,124"
"#141","hustin","98.81%","65,511","12,691","122","624","934"
"#142","Kelathis","96.34%","98,893","12,677","41","397","691"
"#143","Rikiya","98.76%","122,162","12,656","60","774","1,270"
"#144","- Nikliu -","98.48%","101,120","12,653","58","1,108","966"
"#145","Red_Pixel","98.54%","113,350","12,652","49","993","1,198"
"#146","Mathyu","97.93%","144,687","12,646","80","1,194","1,142"
"#147","Xilver15","99.27%","362,963","12,636","711","4,486","1,579"
"#148","Takaga","98.57%","76,375","12,630","151","1,362","1,449"
