"rank","username","acc","playcount","performance","SS","S","A"
123,"Deruz",97.48,71290,12813,27,549,702
124,"Ayla",98.65,229844,12809,28,530,1244
125,"Aristia",97.27,77314,12808,111,2191,579
126,"Ilmeria",97.49,391526,12802,143,1838,2308
127,"LoidKun",97,184451,12801,1011,3434,1686
128,"Riot",97.55,122887,12799,80,1065,1221
129,"PandaCattle",96.9,144222,12797,21,789,1079
130,"[ Zane ]",98.63,176625,12791,239,2890,2309
131,"wuhua",97.53,263246,12769,332,1864,1728
132,"eden1109",97.47,70119,12758,9,382,736
133,"xxluizxx47",98.15,109082,12751,209,1064,1283
134,"DTHR",96.61,123052,12746,27,434,1269
135,"- Heatwave -",98.97,156594,12745,440,1497,1719
136,"Juandissimo",98.1,58478,12718,43,942,1067
137,"Enumi",97.9,75667,12715,29,506,1358
138,"Musty",98.83,138010,12711,163,2188,1815
139,"Piggey",98.98,158740,12703,184,2393,1372
140,"Zain Sugieres",97.91,105952,12701,32,649,1124
141,"hustin",98.81,65511,12691,122,624,934
142,"Kelathis",96.34,98893,12677,41,397,691
143,"Rikiya",98.76,122162,12656,60,774,1270
144,"- Nikliu -",98.48,101120,12653,58,1108,966
145,"Red_Pixel",98.54,113350,12652,49,993,1198
146,"Mathyu",97.93,144687,12646,80,1194,1142
147,"Xilver15",99.27,362963,12636,711,4486,1579
148,"Takaga",98.57,76375,12630,151,1362,1449
149,"Zmatureeno",98.57,144503,12611,48,771,765
150,"King Lizard",97.25,177398,12609,34,1515,2776
151,"osu gameur",96.11,122067,12608,41,854,1000
152,"Mokebe",98.35,64609,12602,46,500,733
153,"ItsKevZii",98.05,171138,12595,74,1621,1827
154,"Aseridan",97.04,125260,12588,29,425,765
155,"WubWoofWolf",99.18,276335,12588,13827,11630,3169
156,"WakaiYuki",97.65,103191,12584,155,907,1041
157,"LoliL0ver",95.82,78217,12579,152,1714,1175
158,"AxewB",98.61,121070,12579,72,1168,1005
159,"Voss",97.54,156543,12572,667,1720,1314
160,"bloo",98.76,147517,12570,117,780,703
161,"Risiing",99.07,130409,12561,305,1561,652
162,"Fudy",96.81,60752,12560,8,538,550
163,"Spazza17",98.93,101040,12553,325,2520,1788
164,"Rohulk",99.49,56094,12548,103,2544,2687
165,"Not DT Farmer",95.62,118195,12542,28,533,606
166,"KoaLeahq",98.64,112057,12529,146,2118,1398
167,"talala",97.74,217538,12514,158,2677,2038
168,"MyAngelMiku",98.15,111679,12505,19,612,1370
169,"Areox",97.75,54024,12489,56,454,652
170,"Neox",98.54,42056,12475,44,582,673
171,"Yaong",99.44,114479,12471,1219,3335,520
172,"Knalli",98.96,67081,12464,154,1695,1879
173,"Fjell",98.22,100052,12461,74,936,1240
174,"Viveliam",99.31,224747,12448,95,2876,2427
175,"Monk The Don",97.31,243282,12439,101,2647,3096
176,"worst dt player",98.16,167052,12434,175,1041,1598
177,"Flaven",99.39,156104,12420,243,1465,1626
178,"Blairzey",98.9,242972,12409,199,1210,1623
179,"Hasawa Kraenes",99.12,89911,12397,8,1212,1582
180,"xxkiritoxx47",96.76,84545,12375,15,344,614
181,"Thundur",96.95,218225,12369,343,1723,2615
182,"Frosiito",98.69,132699,12345,75,1134,1485
183,"Negaces",98.15,142759,12344,70,914,1451
184,"ikaNyai",94.91,74213,12339,329,455,837
185,"Bartek22380",99.35,119934,12331,5442,5889,668
